4959,1030
2352,4491
2426,4478
3395,2219
1190,4169
3732,3504
3117,540
205,3909
984,1711
2081,1217
3703,2584
2079,4640
2645,2465
3600,4133
990,4872
3863,2279
4449,1283
70,2612
4599,4401
2647,4375
2017,2266
1648,1331
634,856
3797,2993
3341,1673
4954,1629
3856,1681
769,254
4727,3524
2638,4169
461,4423
4620,3475
4889,3644
1001,4782
2314,3432
952,3162
4372,4506
1215,2364
3594,3564
1592,201
1897,1345
2031,752
4904,3800
2661,1958
3725,4039
4923,4854
3157,3061
3373,2566
63,1751
844,1247
4715,2842
503,3860
811,3238
3936,4176
303,2462
632,4134
552,4560
534,1624
1286,3418
93,865
799,3555
66,4309
2295,3872
44,4991
2765,3741
1044,1416
477,1112
3100,1771
4238,2697
2787,4357
3324,4930
1983,72
3240,3357
3478,2363
3134,1119
486,1869
4763,403
4653,1986
2835,1232
433,733
3649,2885
4455,4760
3305,4487
1585,3260
4847,4186
3287,1634
4921,463
2239,26
2796,2560
3192,4815
1450,4110
2351,3299
3991,942
1710,631
43,4598
3871,2613
3844,1090
3921,1449
1280,3716
2208,1739
3446,2494
109,4443
3168,2095
2664,3489
4936,4140
1334,1082
48,470
1894,4245
4469,2149
4981,1885
1190,4934
619,2302
1236,2281
2014,2903
4271,1585
3012,4123
917,1618
3832,4826
241,4352
1206,3047
4373,4701
461,3851
3995,3425
3864,208
986,462
4249,430
3235,2342
4528,1222
575,1345
896,3509
1046,956
2391,4507
1073,960
2389,3597
2891,644
1389,4456
288,3177
3285,15
1007,3584
4936,2962
231,3127
1222,4500
1772,2096
3404,2313
4128,1782
1123,1155
111,1981
2906,4500
4565,46
1637,2792
1549,652
4844,3160
127,2412
13,1589
4350,4687
159,1772
4746,454
4952,4495
2492,4584
2016,822
4636,2386
3213,2834
1458,1021
2559,2742
862,1791
880,132
2119,2911
1894,2568
2731,2478
2948,3719
2839,699
4660,2732
2250,4482
3564,1864
3478,176
2809,218
4993,770
1622,4310
3203,1442
2510,3692
2039,1567
4881,17
3266,2395
1897,2604
157,4818
3835,2273
2853,1492
1095,992
414,4224
1720,2206
3922,4205
1110,2961
4051,1176
385,4184
2197,2987
309,600
732,3712
833,3826
206,581
2812,3121
3486,2713
2701,908
844,2938
2730,4904
4701,40
3546,2854
4010,2190
3143,1309
666,4632
2608,3968
1061,731
2279,2847
412,4605
1398,2922
4836,4428
4767,4479
3074,1810
4021,2285
2431,1683
3438,3065
2082,435
597,2066
1651,4847
392,711
59,2980
941,3235
4936,3466
987,843
3904,479
829,1313
3471,433
3194,348
2377,3579
143,3005
4020,3658
601,2937
1984,181
1407,4136
4955,3679
2534,2881
4184,586
3013,3916
2802,393
1536,4541
3191,1372
4795,679
158,2294
4858,1069
4351,269
3645,736
1700,4893
4627,2372
1236,4772
4120,1959
2733,4827
4859,268
3638,3053
2074,1192
3097,4617
225,3743
2818,4886
661,3095
1072,2873
2696,3133
4479,4761
